Timestamp,Game State,Team,Player,Penalized,Pose X,Pose Y, Pose A, isFallen, Ball Age, Ball X, Ball Y
20583,R,13,1,U,-4207.3423,-5.427253,0.0013833409,false,-1.0,-10.0,-10.0
20608,R,19,1,U,-4790.351,2115.1711,0.62244654,false,314282.0,0.0,0.0
20745,R,13,7,U,-1217.2594,-62.16195,-0.05981438,false,-1.0,-10.0,-10.0
21049,R,19,5,U,-3208.866,-403.07413,-0.05869077,false,314596.0,0.0,0.0
21104,R,19,7,U,-777.35706,-1404.389,0.12858783,false,314818.0,0.0,0.0
21157,R,19,2,U,-3229.631,392.05478,-0.066146165,false,314663.0,0.0,0.0
21282,R,19,3,U,-1459.886,1664.5217,0.2443051,false,383422.0,0.0,0.0
21322,R,13,4,U,-1719.3107,-629.1635,-0.100084394,false,-1.0,-10.0,-10.0
21323,R,13,2,U,-3253.3613,579.5041,-0.098083586,false,-1.0,-10.0,-10.0
21333,R,13,6,U,-1663.3286,447.8263,0.009756699,false,-1.0,-10.0,-10.0
21343,R,13,5,U,-3328.8035,-763.22833,-0.041314695,false,-1.0,-10.0,-10.0
21580,R,13,1,U,-4206.4897,-24.585178,0.006732406,false,-1.0,-10.0,-10.0
21580,R,19,6,U,-2032.4225,-546.91754,1.4621607,false,383508.0,0.0,0.0
21617,R,19,1,U,-4743.441,2175.4907,0.6342833,false,315298.0,0.0,0.0
21745,R,13,7,U,-1243.0303,-103.19874,-0.08722231,false,-1.0,-10.0,-10.0
21752,R,19,4,U,-507.0936,27.198439,0.007113515,false,197288.0,0.0,0.0
22070,R,19,5,U,-3209.0496,-403.0545,-0.059106443,false,315629.0,0.0,0.0
22119,R,19,7,U,-771.99963,-1390.8518,0.12696925,false,315865.0,0.0,0.0
22213,R,19,2,U,-3230.7407,392.10477,-0.07667257,false,315696.0,0.0,0.0
22322,R,13,4,U,-1731.189,-599.81134,-0.115777455,false,-1.0,-10.0,-10.0
22326,R,13,2,U,-3238.9148,556.1551,-0.12015465,false,-1.0,-10.0,-10.0
22333,R,13,6,U,-1656.0853,439.28726,-0.0028774804,false,-1.0,-10.0,-10.0
22346,R,13,5,U,-3271.001,-703.6105,0.060799554,false,-1.0,-10.0,-10.0
22425,R,19,3,U,-1459.7765,1667.9613,0.24540927,false,384448.0,0.0,0.0
22490,R,19,4,U,-514.2248,5.4835963,-0.03993576,false,198341.0,0.0,0.0
22582,R,13,1,U,-4216.5493,-23.618412,0.001406041,false,-1.0,-10.0,-10.0
22610,R,19,6,U,-2000.7008,-444.9484,1.4715114,false,384540.0,0.0,0.0
22677,R,19,1,U,-4701.2827,2180.2676,-0.2157758,false,316331.0,0.0,0.0
22750,R,13,7,U,-1240.7913,-118.88362,-0.08846855,false,-1.0,-10.0,-10.0
22991,R,19,5,U,-3211.369,-403.05634,-0.06284913,false,316631.0,0.0,0.0
